Name,Speed,Modules,Price/GB,First Word Latency,CAS Latency,Rating,Rating Count,Price
 G.Skill Trident Z Royal 32 GB  ,DDR4-4000,4 x 8GB,$9.631,7.5 ns,15,0, 0,308.18
 Kingston ValueRAM 64 GB  ,DDR5-4800,2 x 32GB,$3.276,16.667 ns,40,0, 0,209.69
 Corsair Vengeance Performance 16 GB  ,DDR4-2400,1 x 16GB,$2.374,13.333 ns,16,0, 0,37.99
 Kingston KCP426NS6/4 4 GB  ,DDR4-2666,1 x 4GB,$6.018,14.254 ns,19,0, 0,24.07
 G.Skill Trident Z Royal 64 GB  ,DDR4-3600,8 x 8GB,$9.609,7.778 ns,14,0, 0,614.99
 G.Skill Trident Z Royal Elite 16 GB  ,DDR4-3600,2 x 8GB,$10.937,7.778 ns,14,0, 0,174.99
 Mushkin Proline 16 GB  ,DDR4-2666,1 x 16GB,$2.636,14.254 ns,19,0, 0,42.17
 G.Skill F4-3200C16Q2-128GTZKW 128 GB  ,DDR4-3200,8 x 16GB,$6.242,10 ns,16,0, 0,799.0
 G.Skill F4-4000C18Q-32GTZ 32 GB  ,DDR4-4000,4 x 8GB,$6.258,9 ns,18,0, 0,200.27
 G.Skill Trident Z 16 GB  ,DDR4-3600,2 x 8GB,$5.998,8.889 ns,16,5, 4,95.97
 Kingston Savage 16 GB  ,DDR4-3000,2 x 8GB,$24.312,10 ns,15,5, 2,389.0
 Crucial Ballistix Tactical Tracer 64 GB  ,DDR4-3000,4 x 16GB,$6.292,10.667 ns,16,0, 0,402.67
 G.Skill Trident Z 16 GB  ,DDR4-4266,2 x 8GB,$6.747,8.908 ns,19,0, 0,107.96
 Thermaltake TOUGHRAM 16 GB  ,DDR4-4400,2 x 8GB,$12.811,8.636 ns,19,0, 0,204.98
 Mushkin Redline 32 GB  ,DDR4-4000,2 x 16GB,$4.406,9 ns,18,0, 0,140.99
 Mushkin Silverline 16 GB  ,DDR4-2400,1 x 16GB,$2.220,14.167 ns,17,0, 0,35.52
 Corsair Dominator Platinum RGB 16 GB  ,DDR4-3200,2 x 8GB,$5.312,11.25 ns,18,0, 0,84.99
 Kingston FURY Impact 32 GB  ,DDR5-4800,1 x 32GB,$3.423,15.833 ns,38,0, 0,109.55
 Crucial CT32G4LFQ4213 32 GB  ,DDR4-2133,1 x 32GB,$2.593,14.065 ns,15,0, 0,82.99
 Mushkin Essentials 8 GB  ,DDR4-2133,1 x 8GB,$2.560,14.065 ns,15,0, 0,20.48
 Kingston ValueRAM 16 GB  ,DDR4-2133,2 x 8GB,$8.437,14.065 ns,15,0, 0,134.99
 G.Skill Trident Z 16 GB  ,DDR4-3866,2 x 8GB,$11.812,9.312 ns,18,0, 0,189.0
 G.Skill Sniper X 16 GB  ,DDR4-3400,2 x 8GB,$12.770,9.412 ns,16,0, 0,204.32
 G.Skill Trident Z 16 GB  ,DDR4-3200,2 x 8GB,$9.338,9.375 ns,15,5, 1,149.4
 Crucial CT4K8G4DFD824A 32 GB  ,DDR4-2400,4 x 8GB,$4.969,14.167 ns,17,0, 0,159.0
 G.Skill Trident Z Royal 32 GB  ,DDR4-4000,4 x 8GB,$14.031,8.5 ns,17,0, 0,449.0
 G.Skill Trident Z Royal 64 GB  ,DDR4-3600,8 x 8GB,$7.812,7.778 ns,14,0, 0,499.99
 Kingston FURY Beast 64 GB  ,DDR4-2666,4 x 16GB,$2.733,12.003 ns,16,0, 0,174.9
 Mushkin Redline Lumina 32 GB  ,DDR4-3600,2 x 16GB,$3.906,10 ns,18,0, 0,124.99
 Mushkin Redline 16 GB  ,DDR4-2800,2 x 8GB,$5.164,12.143 ns,17,0, 0,82.63
 G.Skill Trident Z Royal Elite 64 GB  ,DDR4-3600,4 x 16GB,$9.163,7.778 ns,14,0, 0,586.42
 G.Skill F4-3600C17D-32GTZ 32 GB  ,DDR4-3600,2 x 16GB,$5.656,9.444 ns,17,0, 0,180.98
 Silicon Power SP016GBLFU240B02 16 GB  ,DDR4-2400,1 x 16GB,$2.891,14.167 ns,17,0, 0,46.25
