Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price,Efficiency Rating
 Fractal Design Ion Gold  ,ATX, Rating80+ Gold,850,Full,5, 2,187.47,3
 Corsair RM750x  ,ATX, Rating80+ Gold,750,Full,5, 72,174.92,3
 Corsair RM550x ,ATX, Rating80+ Gold,550,Full,5, 30,216.0,3
 Montech TITAN GOLD 1200W  ,ATX, Rating80+ Gold,1200,Full,0, 0,167.99,3
 SeaSonic FOCUS SGX ,SFX, Rating80+ Gold,750,Full,5, 1,139.99,3
 ADATA XPG FUSION 1600  ,ATX, Rating80+ Titanium,1600,Full,0, 0,699.99,5
 FSP Group Dagger Pro  ,SFX, Rating80+ Gold,650,Full,5, 1,136.99,3
 PowerSpec PS 650GSM  ,ATX, Rating80+ Gold,650,Semi,5, 6,74.98,3
 GameMax RGB Rainbow  ,ATX, Rating80+ Gold,850,Full,5, 6,104.99,3
 Thermaltake Toughpower GF1 PE  ,ATX, Rating80+ Gold,750,Full,5, 16,123.26,3
 EVGA 850 B5  ,ATX, Rating80+ Bronze,850,Full,5, 6,94.99,1
 SeaSonic PRIME PX-1600 ATX 3.0  ,ATX, Rating80+ Platinum,1600,Full,0, 0,499.07,4
 Corsair RM650  ,ATX, Rating80+ Gold,650,Full,5, 4,204.99,3
 Deepcool PX850G WH  ,ATX, Rating80+ Gold,850,Full,0, 0,155.58,3
 SeaSonic PRIME TX-850  ,ATX, Rating80+ Titanium,850,Full,5, 4,459.0,5
 Corsair CX750M V2 ,ATX, Rating80+ Bronze,750,Semi,4, 12,209.0,1
 EVGA SuperNOVA 750 P5  ,ATX, Rating80+ Platinum,750,Full,5, 1,99.99,4
 Corsair CX750 ,ATX, Rating80+ Bronze,750,No,4, 7,94.99,1
 Super Flower LEADEX VII XG  ,ATX, Rating80+ Gold,1000,Full,5, 2,173.98,3
 Cooler Master MasterWatt 550  ,ATX, Rating80+ Bronze,550,Semi,4, 28,90.0,1
 Super Flower LEADEX VII XG  ,ATX, Rating80+ Gold,1300,Full,5, 1,190.98,3
 Corsair HX850i  ,ATX, Rating80+ Platinum,850,Full,5, 34,396.0,4
 Corsair CX650F  ,ATX, Rating80+ Bronze,650,Full,5, 19,199.99,1
 Corsair CXM  ,ATX, Rating80+ Bronze,750,Semi,5, 300,162.59,1
 Thermaltake Toughpower TF1 - TT Premium  ,ATX, Rating80+ Titanium,1550,Full,0, 0,439.99,5
 Enermax REVOLUTION D.F. 2  ,ATX, Rating80+ Gold,850,Full,5, 1,109.99,3
 Fractal Design Ion Gold  ,ATX, Rating80+ Gold,750,Full,5, 3,212.02,3
 Montech CENTURY G5  ,ATX, Rating80+ Gold,750,Full,0, 0,94.0,3
 Xilence XP500R6  ,ATX, Rating,500,No,3, 1,103.0,0
 GameMax RGB Rainbow  ,ATX, Rating80+ Gold,750,Full,5, 3,99.99,3
 Raidmax RX-730SS  ,ATX, Rating,730,Semi,4, 8,54.99,0
 Thermaltake Toughpower SFX  ,SFX, Rating80+ Gold,1000,Full,0, 0,178.41,3
 Corsair RM850e ,ATX, Rating80+ Gold,850,Full,5, 8,179.98,3
 EVGA SuperNOVA 1000 G6  ,ATX, Rating80+ Gold,1000,Full,5, 11,198.46,3
 Corsair RM850x White  ,ATX, Rating80+ Gold,850,Full,5, 16,379.99,3
 SeaSonic VERTEX GX-850  ,ATX, Rating80+ Gold,850,Full,0, 0,190.0,3
 FSP Group FSP400-60FGGBA  ,Flex ATX, Rating80+ Gold,400,No,4, 1,109.99,3
 Cougar POLAR  ,ATX, Rating80+ Platinum,1200,Full,0, 0,234.99,4
 Thermaltake Thermaltake TP-750M  ,ATX, Rating80+ Gold,750,Semi,5, 5,79.98,3
 Thermaltake Toughpower iRGB PLUS 1000 Platinum  ,ATX, Rating80+ Platinum,1000,Full,0, 0,1879.86,4
 be quiet! System Power 9 700 CM  ,ATX, Rating80+ Bronze,700,Semi,5, 2,165.2,1
 EVGA SuperNOVA 1000 G7  ,ATX, Rating80+ Gold,1000,Full,5, 2,248.98,3
 Antec CSK  ,ATX, Rating80+ Bronze,750,Semi,0, 0,100.83,1
 Super Flower LEADEX VII XG  ,ATX, Rating80+ Gold,850,Full,5, 4,159.99,3
 FSP Group Hydro G Pro  ,ATX, Rating80+ Gold,1000,Full,5, 2,179.51,3
 Silverstone Strider Platinum S  ,ATX, Rating80+ Platinum,1000,Full,0, 0,212.99,4
 Super Flower Leadex III Gold  ,ATX, Rating80+ Gold,550,Full,5, 1,125.99,3
 Thermaltake Toughpower SFX  ,SFX, Rating80+ Gold,750,Full,0, 0,154.99,3
 EVGA 750 BQ  ,ATX, Rating80+ Bronze,750,Semi,5, 45,138.72,1
 be quiet! System Power 9  ,ATX, Rating80+ Bronze,600,No,5, 9,114.18,1
 Phanteks AMP v2  ,ATX, Rating80+ Gold,1000,Full,0, 0,167.3,3
 Silverstone SST-TX300  ,TFX, Rating80+ Bronze,300,No,5, 2,74.98,1
 EVGA 700 BQ  ,ATX, Rating80+ Bronze,700,Semi,5, 1,104.95,1
 Cooler Master MWE Bronze  ,ATX, Rating80+ Bronze,500,No,4, 1,88.49,1
 Super Flower Leadex Titanium  ,ATX, Rating80+ Titanium,1600,Full,5, 3,299.99,5
 Corsair RM850 ,ATX, Rating80+ Gold,850,Full,5, 96,187.68,3
 Apevia Prestige  ,ATX, Rating80+ Gold,1000,No,0, 0,74.98,3
 EVGA SuperNOVA 650 P5  ,ATX, Rating80+ Platinum,650,Full,0, 0,129.99,4
 SeaSonic FOCUS Gold  ,ATX, Rating80+ Gold,550,Semi,5, 12,139.28,3
 Asus TUF Gaming B  ,ATX, Rating80+ Bronze,550,No,5, 1,69.98,1
 EVGA 750 BP  ,ATX, Rating80+ Bronze,750,No,0, 0,79.99,1
 Thermaltake  Toughpower SFX 600W Gold  ,SFX, Rating80+ Gold,600,Full,5, 1,127.13,3
 EVGA 650BP  ,ATX, Rating80+ Bronze,650,No,5, 3,74.99,1
 be quiet! Straight Power 11 550W  ,ATX, Rating80+ Gold,550,Full,5, 6,109.9,3
 Corsair Vengeance 750M  ,ATX, Rating80+ Silver,750,Semi,5, 3,94.99,2
 Thermaltake Toughpower SFX  ,SFX, Rating80+ Gold,850,Full,5, 2,179.99,3
 EVGA SuperNOVA 850 P5  ,ATX, Rating80+ Platinum,850,Full,5, 2,119.99,4
 CoolMax V-400  ,ATX, Rating,400,No,4, 4,37.27,0
 Corsair RM1000e ,ATX, Rating80+ Gold,1000,Full,5, 8,242.99,3
 EVGA SuperNOVA 1600 G+  ,ATX, Rating80+ Gold,1600,Full,0, 0,327.66,3
 EVGA GE  ,ATX, Rating80+ Gold,700,No,5, 2,93.66,3
 EVGA SuperNOVA 650 GA  ,ATX, Rating80+ Gold,650,Full,5, 43,129.99,3
 EVGA SuperNOVA 750 GA  ,ATX, Rating80+ Gold,750,Full,5, 30,189.99,3
 Corsair HX1000i ,ATX, Rating80+ Platinum,1000,Full,4, 7,275.0,4
 EVGA SuperNOVA 750 G+  ,ATX, Rating80+ Gold,750,Full,5, 24,229.99,3
 Corsair CX750F  ,ATX, Rating80+ Bronze,750,Full,5, 8,220.0,1
 Thermaltake Smart RGB 230V  ,ATX, Rating80+,500,No,5, 1,140.0,0
 EVGA SuperNOVA 1000 P3  ,ATX, Rating80+ Platinum,1000,Full,5, 2,199.99,4
 EVGA SuperNOVA 750 G6  ,ATX, Rating80+ Gold,750,Full,5, 7,137.34,3
 SeaSonic G12 GM  ,ATX, Rating80+ Gold,850,Semi,0, 0,135.61,3
 be quiet! SFX Power 3 300  ,SFX, Rating80+ Bronze,300,No,0, 0,73.79,1
 Antec Signature  ,ATX, Rating80+ Titanium,1000,Full,5, 2,283.7,5
 Gigabyte UD850GM PG5 ,ATX, Rating80+ Gold,850,Full,0, 0,167.56,3
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,850,Full,0, 0,178.5,3
 Azza PSAZ-550W  ,ATX, Rating80+ Bronze,550,No,0, 0,54.99,1
 Silverstone ET500-ARGB  ,ATX, Rating80+ Bronze,500,No,0, 0,98.7,1
 SeaSonic G12 GM  ,ATX, Rating80+ Gold,650,Semi,0, 0,146.07,3
 Thermaltake TR2  ,ATX, Rating80+ Bronze,450,No,0, 0,49.99,1
 Deepcool PX1200G  ,ATX, Rating80+ Gold,1200,Full,0, 0,178.3,3
 EVGA SuperNOVA 1300 G+  ,ATX, Rating80+ Gold,1300,Full,5, 4,199.95,3
 Super Flower Leadex III ARGB  ,ATX, Rating80+ Gold,750,Full,5, 3,159.99,3
 Cooler Master MWE Gold V2 ATX3.0  ,ATX, Rating80+ Gold,1050,Full,0, 0,168.99,3
 EVGA SuperNOVA 1000 G3  ,ATX, Rating80+ Gold,1000,Full,5, 24,395.76,3
 SHARKOON SilentStorm  ,SFX, Rating80+ Gold,500,Full,5, 3,108.32,3
 Athena Power AP-MTFX30  ,TFX, Rating,300,No,0, 0,36.99,0
 EVGA 1000 GQ  ,ATX, Rating80+ Gold,1000,Semi,5, 8,139.99,3
 SeaSonic G12 GC  ,ATX, Rating80+ Gold,550,No,0, 0,98.19,3
 Super Flower Leadex Platinum  ,ATX, Rating80+ Platinum,850,Full,0, 0,142.98,4
 SeaSonic FOCUS SPX ,SFX, Rating80+ Platinum,750,Full,3, 1,197.98,4
 EVGA SuperNOVA 850 GA  ,ATX, Rating80+ Gold,850,Full,5, 25,272.99,3
 EVGA SuperNOVA 1600 P+  ,ATX, Rating80+ Platinum,1600,Full,5, 2,375.88,4
 Gigabyte UD1300GM PG5  ,ATX, Rating80+ Gold,1300,Full,0, 0,189.31,3
 Corsair CS650M  ,ATX, Rating80+ Gold,650,Semi,5, 42,119.99,3
 SeaSonic FOCUS  ,ATX, Rating80+ Platinum,750,Full,5, 8,169.98,4
 Thermaltake Toughpower PF3-L  ,ATX, Rating80+ Platinum,1200,Full,0, 0,194.99,4
 Super Flower Leadex III Gold  ,ATX, Rating80+ Gold,650,Full,5, 5,125.99,3
 GameMax RGB  ,ATX, Rating80+ Platinum,1300,Full,0, 0,169.99,4
 SeaSonic Prime Fanless PX-500  ,ATX, Rating80+ Platinum,500,Full,0, 0,284.47,4
 Super Flower Leadex V Pro  ,ATX, Rating80+ Platinum,1000,Full,0, 0,177.98,4
 SeaSonic PRIME Ultra Titanium  ,ATX, Rating80+ Titanium,850,Full,5, 5,449.0,5
 Silverstone SX-G  ,SFX, Rating80+ Gold,700,Full,4, 1,135.25,3
 G.Skill MB750G  ,ATX, Rating80+ Gold,750,Full,0, 0,86.99,3
 Apex AL-8250SFX  ,SFX, Rating,250,No,3, 2,72.02,0
 EVGA SuperNOVA 1200 P3  ,ATX, Rating80+ Platinum,1200,Full,0, 0,346.98,4
 Xilence XP600R6  ,ATX, Rating,600,No,0, 0,110.3,0
 Cougar VTE  ,ATX, Rating80+ Bronze,600,No,3, 1,56.99,1
 Silverstone Essential  ,ATX, Rating80+ Gold,550,No,5, 3,68.63,3
 Silverstone SX700-PT  ,SFX, Rating80+ Platinum,700,Full,4, 5,155.19,4
 SeaSonic PRIME TX-750  ,ATX, Rating80+ Titanium,750,Full,5, 2,357.92,5
 Silverstone TX500-G  ,TFX, Rating80+ Gold,500,No,0, 0,145.91,3
 EVGA N1  ,ATX, Rating,550,No,5, 13,59.99,0
 GAMDIAS KRATOS P1 G  ,ATX, Rating80+ Gold,750,No,5, 1,84.99,3
 PowerSpec GFM  ,ATX, Rating80+ Gold,750,Full,3, 1,94.99,3
 EVGA SuperNOVA 550 GA  ,ATX, Rating80+ Gold,550,Full,5, 18,174.99,3
 EVGA SuperNOVA 1600 P2  ,ATX, Rating80+ Platinum,1600,Full,5, 5,549.99,4
 Corsair RM750e ,ATX, Rating80+ Gold,750,Full,5, 19,160.0,3
 Silverstone SX1000R-PL  ,SFX, Rating80+ Platinum,1000,Full,0, 0,287.58,4
 NZXT E850  ,ATX, Rating80+ Gold,850,Full,4, 3,129.99,3
 ADATA XPG Core Reactor II  ,ATX, Rating80+ Gold,850,Full,0, 0,109.99,3
 EVGA SuperNOVA 750 G7  ,ATX, Rating80+ Gold,750,Full,5, 1,119.99,3
 Gigabyte AORUS P GM  ,ATX, Rating80+ Gold,750,Full,4, 6,155.99,3
 Enermax REVOLUTION D.F. 2  ,ATX, Rating80+ Gold,1200,Full,0, 0,142.99,3
 Cooler Master V850 Gold V2  ,ATX, Rating80+ Gold,850,Full,4, 1,216.49,3
 Raidmax Vortex  ,ATX, Rating80+ Gold,600,No,0, 0,49.99,3
 Corsair CX550F  ,ATX, Rating80+ Bronze,550,Full,5, 6,159.99,1
 EVGA 550 B5  ,ATX, Rating80+ Bronze,550,Full,5, 17,151.75,1
 SeaSonic VERTEX PX-850  ,ATX, Rating80+ Platinum,850,Full,0, 0,219.99,4
 Razer Katana Chroma  ,ATX, Rating80+ Platinum,1200,Full,0, 0,389.99,4
 Super Flower Leadex Titanium  ,ATX, Rating80+ Titanium,1000,Full,5, 4,204.98,5
 Super Flower Leadex III ARGB  ,ATX, Rating80+ Gold,650,Full,5, 2,144.99,3
 Cooler Master GX III GOLD  ,ATX, Rating80+ Gold,750,Full,0, 0,148.79,3
 Azza PSAZ-650W  ,ATX, Rating80+ Bronze,650,No,0, 0,52.99,1
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,1200,Full,0, 0,199.2,3
 Silverstone HELA 850R  ,ATX, Rating80+ Platinum,850,Full,5, 1,222.27,4
 EVGA SuperNOVA 650 G1  ,ATX, Rating80+ Gold,650,Full,5, 237,223.49,3
 SHARKOON SilentStorm Cool Zero 650  ,ATX, Rating80+ Gold,650,Full,4, 1,117.59,3
 SeaSonic PRIME 1300 Gold  ,ATX, Rating80+ Gold,1300,Full,4, 1,288.99,3
 Cooler Master MasterWatt  ,ATX, Rating80+ Bronze,750,Semi,4, 16,97.99,1
 Corsair CX650F  ,ATX, Rating80+ Bronze,650,Full,4, 15,179.99,1
 In Win IP-S200DF1-0  ,TFX, Rating,200,No,0, 0,52.02,0
" FSP Group Hydro PTM X PRO,Gen5  ",ATX, Rating80+ Platinum,850,Full,0, 0,169.4,4
" FSP Group Hydro PTM X PRO,Gen5  ",ATX, Rating80+ Platinum,1000,Full,0, 0,184.99,4
 EVGA SuperNOVA 850 G7  ,ATX, Rating80+ Gold,850,Full,4, 1,159.99,3
 be quiet! Straight Power 11 1000W  ,ATX, Rating80+ Gold,1000,Full,0, 0,259.2,3
 Cooler Master V850 Gold i  ,ATX, Rating80+ Gold,850,Full,0, 0,160.66,3
 Deepcool PM650D  ,ATX, Rating80+ Gold,650,No,0, 0,79.99,3
 Vetroo GV1000  ,ATX, Rating80+ Gold,1000,Full,0, 0,129.99,3
 SeaSonic PRIME PX  ,ATX, Rating80+ Platinum,1000,Full,4, 1,459.0,4
 KOLINK Regulator  ,ATX, Rating80+ Gold,850,Full,0, 0,129.99,3
 Antec CSK  ,ATX, Rating80+ Bronze,650,No,0, 0,80.03,1
 Thermaltake Toughpower Grand RGB  ,ATX, Rating80+ Gold,750,Full,5, 26,144.98,3
 MSI MPG A750G PCIE5  ,ATX, Rating80+ Gold,750,Full,5, 1,125.35,3
 Super Flower Leadex Titanium  ,ATX, Rating80+ Titanium,850,Full,5, 1,199.99,5
 Silverstone Strider Titanium  ,ATX, Rating80+ Titanium,1300,Full,5, 1,359.99,5
 EVGA 600 B1  ,ATX, Rating80+ Bronze,600,No,4, 153,161.99,1
 Corsair RM650  ,ATX, Rating80+ Gold,650,Full,5, 105,222.2,3
 ADATA XPG Core Reactor II  ,ATX, Rating80+ Gold,1000,Full,0, 0,134.99,3
 GAMDIAS KRATOS M1 B  ,ATX, Rating80+ Bronze,750,No,4, 5,79.98,1
 Razer Katana Chroma  ,ATX, Rating80+ Platinum,850,Full,0, 0,209.99,4
 Thermaltake TR2 S  ,ATX, Rating80+,600,No,4, 1,174.94,0
 be quiet! Straight Power 11  ,ATX, Rating80+ Platinum,750,Full,5, 3,208.48,4
 Antec NE1000G M ATX3.0  ,ATX, Rating80+ Gold,1000,Full,0, 0,154.99,3
 SHARKOON SilentStorm Cool Zero 750  ,ATX, Rating80+ Gold,750,Full,4, 2,173.39,3
 EVGA SuperNOVA 650 G6  ,ATX, Rating80+ Gold,650,Full,5, 4,116.36,3
 Cooler Master V650 Gold V2  ,ATX, Rating80+ Gold,650,Full,5, 1,267.97,3
 Antec NeoECO Gold  ,ATX, Rating80+ Gold,850,Full,5, 1,152.16,3
 Thermaltake Toughpower GX1  ,ATX, Rating80+ Gold,600,Semi,0, 0,91.82,3
 Super Flower Leadex Platinum SE  ,ATX, Rating80+ Platinum,1000,Full,5, 3,139.99,4
 Silverstone TX700-G  ,TFX, Rating80+ Gold,700,No,0, 0,181.78,3
 Azza ARGB  ,ATX, Rating80+ Bronze,650,No,0, 0,64.98,1
 Enermax Revolution D.F. X  ,ATX, Rating80+ Gold,850,Full,0, 0,114.99,3
 Silverstone SX650-G  ,SFX, Rating80+ Gold,650,Full,4, 5,137.99,3
 NZXT C ,ATX, Rating80+ Gold,650,Full,5, 8,104.99,3
 EVGA SuperNOVA 1200 P2  ,ATX, Rating80+ Platinum,1200,Full,5, 14,499.99,4
 EVGA SuperNOVA 650 P6  ,ATX, Rating80+ Platinum,650,Full,5, 1,139.99,4
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,750,Full,0, 0,164.99,3
 EVGA SuperNOVA G FTW  ,ATX, Rating80+ Gold,1000,Full,0, 0,154.99,3
 Antec NE1000G M White ATX 3.0  ,ATX, Rating80+ Gold,1000,Full,0, 0,204.61,3
 SeaSonic PRIME PX  ,ATX, Rating80+ Platinum,750,Full,4, 2,189.99,4
 Cooler Master XG750 Plus  ,ATX, Rating80+ Platinum,750,Full,0, 0,127.27,4
 Corsair TX650  ,ATX, Rating80+,650,No,5, 13,262.49,0
 Enermax MAXREVO SLI  ,ATX, Rating80+ Gold,1350,Full,0, 0,149.94,3
 Corsair GS800  ,ATX, Rating80+ Bronze,800,No,5, 7,199.0,1
 FSP Group Dagger Pro  ,SFX, Rating80+ Gold,850,Full,4, 1,179.99,3
 Corsair CS750M  ,ATX, Rating80+ Gold,750,Semi,5, 30,216.99,3
 EVGA SuperNOVA 1300 P+  ,ATX, Rating80+ Platinum,1300,Full,0, 0,499.99,4
 SeaSonic SSP-300SUG  ,Flex ATX, Rating80+ Gold,300,No,5, 1,93.64,3
 be quiet! Dark Power 12  ,ATX, Rating80+ Titanium,750,Full,5, 3,289.14,5
 Cooler Master V650  ,ATX, Rating80+ Gold,650,Full,5, 9,138.65,3
 Gigabyte UD1000GM PG5  ,ATX, Rating80+ Gold,1000,Full,0, 0,227.47,3
 EVGA SuperNOVA 850 G+  ,ATX, Rating80+ Gold,850,Full,5, 13,229.95,3
 Thermaltake Toughpower Grand RGB  ,ATX, Rating80+ Gold,650,Full,4, 13,112.99,3
 Silverstone Strider  ,ATX, Rating80+ Gold,550,Full,5, 11,85.0,3
 Thermaltake Smart Pro RGB  ,ATX, Rating80+ Bronze,750,Full,5, 12,199.99,1
 Gigabyte UD-GM PG5  ,ATX, Rating80+ Gold,750,Full,0, 0,155.38,3
 Thermaltake TR2 S  ,ATX, Rating80+,700,No,0, 0,190.83,0
 SeaSonic PRIME  ,ATX, Rating80+ Gold,850,Full,5, 2,195.98,3
 Cougar GEX  ,ATX, Rating80+ Gold,850,Full,0, 0,111.99,3
 Enermax Revolution D.F.  ,ATX, Rating80+ Gold,750,Full,5, 3,109.99,3
 NOX Hummer  ,ATX, Rating80+ Bronze,650,Semi,0, 0,84.32,1
 SeaSonic S12III  ,ATX, Rating80+ Bronze,550,No,5, 6,129.0,1
 NZXT C ,ATX, Rating80+ Gold,750,Full,5, 18,109.98,3
 EVGA SuperNOVA 650 P2  ,ATX, Rating80+ Platinum,650,Full,5, 33,219.99,4
 Antec NeoECO Gold  ,ATX, Rating80+ Gold,750,Full,0, 0,143.63,3
 Silverstone Strider Platinum S  ,ATX, Rating80+ Platinum,1200,Full,5, 1,269.45,4
 Corsair AX850  ,ATX, Rating80+ Gold,850,Full,5, 26,319.99,3
 Thermaltake TR2  ,ATX, Rating,600,No,4, 35,62.78,0
 Logisys PS550E12BK  ,ATX, Rating,550,No,4, 2,39.99,0
 SeaSonic G  ,ATX, Rating80+ Gold,450,Semi,5, 8,140.66,3
 Silverstone Essential  ,ATX, Rating80+ Bronze,550,No,3, 1,61.74,1
 Corsair RM650x  ,ATX, Rating80+ Gold,650,Full,5, 78,203.4,3
 Silverstone SFX  ,SFX, Rating80+ Platinum,700,Full,5, 7,169.99,4
 NZXT C ,ATX, Rating80+ Gold,850,Full,5, 28,149.98,3
 Antec Signature Platinum  ,ATX, Rating80+ Platinum,1300,Full,0, 0,284.99,4
 Azza PSAZ-750W  ,ATX, Rating80+ Bronze,750,No,0, 0,74.98,1
 Silverstone DA850R-GMA  ,ATX, Rating80+ Gold,850,Full,0, 0,266.64,3
 FSP Group Dagger Pro  ,SFX, Rating80+ Gold,750,Full,4, 1,149.99,3
 SeaSonic S12II  ,ATX, Rating80+ Bronze,520,No,5, 29,247.77,1
 Deepcool DQ-M-V2L  ,ATX, Rating80+ Gold,850,Full,0, 0,199.07,3
 Fractal Design Ion+ 2 Platinum  ,ATX, Rating80+ Platinum,560,Full,0, 0,236.47,4
 SeaSonic PRIME  ,ATX, Rating80+ Gold,1000,Full,5, 2,316.28,3
 SeaSonic VERTEX GX-750  ,ATX, Rating80+ Gold,750,Full,0, 0,169.99,3
 Thermaltake Toughpower Grand RGB Platinum  ,ATX, Rating80+ Platinum,1200,Full,0, 0,269.99,4
 Rosewill SMG1050  ,ATX, Rating80+ Gold,1050,Full,0, 0,109.99,3
 EVGA SuperNOVA 650 G7  ,ATX, Rating80+ Gold,650,Full,0, 0,99.99,3
 ADATA XPG CYBERCORE  ,ATX, Rating80+ Platinum,1300,Full,0, 0,209.99,4
 Chieftec ATMOS  ,ATX, Rating80+ Gold,750,Full,0, 0,163.59,3
 Silverstone DA850R-GMA  ,ATX, Rating80+ Gold,850,Full,0, 0,251.53,3
 Corsair HX750  ,ATX, Rating80+ Gold,750,Semi,5, 77,273.99,3
 SeaSonic FOCUS Gold  ,ATX, Rating80+ Gold,650,Semi,5, 14,139.34,3
 Deepcool PX1300P  ,ATX, Rating80+ Platinum,1300,Full,0, 0,299.99,4
 FSP Group FSP300-60LG  ,Mini ITX, Rating80+ Bronze,300,No,0, 0,148.02,1
 Super Flower Leadex III ARGB  ,ATX, Rating80+ Gold,850,Full,5, 2,169.99,3
 Silverstone Strider Platinum  ,ATX, Rating80+ Platinum,850,Full,0, 0,159.99,4
 ADATA XPG Core Reactor II  ,ATX, Rating80+ Gold,750,Full,0, 0,99.99,3
 Thermaltake Toughpower PF3-L  ,ATX, Rating80+ Platinum,1050,Full,0, 0,179.99,4
 Antec NE1300G M ATX3.0  ,ATX, Rating80+ Gold,1300,Full,0, 0,199.99,3
" FSP Group Hydro PTM X PRO,Gen5  ",ATX, Rating80+ Platinum,1200,Full,0, 0,254.99,4
 Silverstone TX300  ,TFX, Rating80+ Bronze,300,No,0, 0,81.92,1
 Super Flower Leadex V Platinum Pro  ,ATX, Rating80+ Platinum,850,Full,5, 7,189.99,4
" FSP Group Hydro PTM PRO,Gen5  ",ATX, Rating80+ Platinum,1200,Full,0, 0,265.99,4
 Silverstone Essential  ,ATX, Rating80+ Gold,750,Semi,4, 1,109.99,3
 Enermax Revolution D.F. X  ,ATX, Rating80+ Gold,1200,Full,0, 0,169.99,3
 SeaSonic PRIME PX  ,ATX, Rating80+ Platinum,850,Full,4, 1,309.39,4
 FSP Group Hydro PTM PRO  ,ATX, Rating80+ Platinum,750,Full,0, 0,149.99,4
 ADATA XPG Core Reactor II  ,ATX, Rating80+ Gold,650,Full,0, 0,89.99,3
 Fractal Design Ion Gold  ,ATX, Rating80+ Gold,650,Full,0, 0,163.02,3
 Corsair HX1000  ,ATX, Rating80+,1000,Semi,5, 5,479.99,0
 Super Flower Leadex Platinum  ,ATX, Rating80+ Platinum,1600,Full,0, 0,279.99,4
 Silverstone Strider Titanium  ,ATX, Rating80+ Titanium,1100,Full,0, 0,338.99,5
 be quiet! Straight Power 11 450W  ,ATX, Rating80+ Gold,450,Full,5, 2,259.0,3
 Deepcool PQ650M  ,ATX, Rating80+ Gold,650,Full,0, 0,127.98,3
 Antec EARTHWATTS GOLD PRO 750  ,ATX, Rating80+ Gold,750,Semi,5, 12,149.99,3
 Corsair HX650  ,ATX, Rating80+ Gold,650,Semi,4, 20,316.95,3
 Thermaltake Toughpower GF2 ARGB  ,ATX, Rating80+ Gold,750,Full,0, 0,142.99,3
 Thermaltake Smart SE  ,ATX, Rating,630,Semi,5, 4,174.0,0
 Deepcool PX1000P  ,ATX, Rating80+ Platinum,1000,Full,0, 0,229.99,4
 Silverstone Strider Platinum  ,ATX, Rating80+ Platinum,650,Full,0, 0,128.27,4
 SeaSonic VERTEX PX-750  ,ATX, Rating80+ Platinum,750,Full,0, 0,199.99,4
 be quiet! Pure Power 11 FM 850  ,ATX, Rating80+ Gold,850,Full,5, 1,299.89,3
 Cougar BXM750  ,ATX, Rating80+ Bronze,750,Semi,0, 0,93.98,1
 PC Power & Cooling PM0600  ,ATX, Rating80+ Bronze,600,Semi,0, 0,118.09,1
 Thermaltake Toughpower PF3-L  ,ATX, Rating80+ Platinum,850,Full,0, 0,172.82,4
 FSP Group Hydro GE  ,ATX, Rating80+ Gold,650,Full,4, 1,89.99,3
 CoolMax V-500  ,ATX, Rating,500,No,3, 1,33.47,0
 Sparkle FSP300-60ATV  ,ATX, Rating,300,No,0, 0,59.99,0
 Antec High Current Gamer  ,ATX, Rating80+ Bronze,620,Semi,5, 30,155.31,1
 Xilence XP1050MR9  ,ATX, Rating80+ Gold,1050,Full,0, 0,223.09,3
 ADATA XPG CYBERCORE  ,ATX, Rating80+ Platinum,1000,Full,0, 0,189.99,4
 KOLINK Regulator  ,ATX, Rating80+ Gold,1000,Full,0, 0,149.99,3
 Gigabyte UD-GM PG5  ,ATX, Rating80+ Gold,850,Full,0, 0,167.56,3
 Asus TUF Gaming 1200G  ,ATX, Rating80+ Gold,1200,Full,0, 0,209.99,3
 Silverstone Strider  ,ATX, Rating80+ Bronze,700,Full,0, 0,99.99,1
 Corsair VS500  ,ATX, Rating80+,500,No,4, 9,234.54,0
 Chieftec ATMOS  ,ATX, Rating80+ Gold,850,Full,0, 0,184.78,3
 Super Flower LEADEX VII Platinum PRO  ,ATX, Rating80+ Platinum,1000,Full,0, 0,229.99,4
 Super Flower LEADEX VII Platinum PRO  ,ATX, Rating80+ Platinum,1200,Full,0, 0,269.99,4
 Silverstone Strider  ,ATX, Rating80+ Silver,1500,No,5, 1,327.58,2
 Silverstone Essential  ,ATX, Rating80+ Gold,750,No,0, 0,98.99,3
 ADATA XPG Core Reactor II  ,ATX, Rating80+ Gold,1200,Full,0, 0,155.67,3
 EVGA SuperNOVA 1000 P5  ,ATX, Rating80+ Platinum,1000,Full,0, 0,209.99,4
 Cooler Master V1200  ,ATX, Rating80+ Platinum,1200,Full,4, 1,306.89,4
 FSP Group Hydro PTM PRO  ,ATX, Rating80+ Platinum,1000,Full,0, 0,189.99,4
 Cougar POLAR  ,ATX, Rating80+ Platinum,1050,Full,0, 0,172.48,4
 Cougar GEX  ,ATX, Rating80+ Gold,1050,Full,0, 0,209.4,3
 Enermax Revolution D.F. X  ,ATX, Rating80+ Gold,1050,Full,0, 0,149.99,3
 Xilence XP550R9  ,ATX, Rating80+ Gold,550,No,0, 0,134.0,3
 Silverstone Essential  ,ATX, Rating80+ Gold,550,Semi,0, 0,89.98,3
