Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 Lexar NM790 w/Heatsink  ,1 TB,$86.01,SSD,M.2-2280,M.2 PCIe 4.0 X4,3, 1,86.01
 Corsair MP400  ,4 TB,$1138.75,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,1138.75
 ADATA SU630  ,480 GB,$43.84,SSD,"2.5""",SATA 6.0 Gb/s,5, 1,43.84
 Samsung 970 Evo  ,250 GB,$103.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 95,103.99
 Silicon Power A55  ,256 GB,$28.66,SSD,"2.5""",SATA 6.0 Gb/s,5, 13,28.66
 Intel SSDPEDMD020T401  ,2 TB,$1701.41,SSD,PCIe,PCIe x4,0, 0,1701.41
 Western Digital Blue  ,250 GB,$39.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 31,39.99
 Corsair MP600 PRO LPX  ,1 TB,$89.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,89.99
 Western Digital Black SN850  ,2 TB,$235.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 19,235.99
 PNY CS1031  ,1 TB,$76.61,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,76.61
 ADATA XPG GAMMIX S11 Pro  ,1 TB,$116.31,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 14,116.31
 Kingston SSDNow V300  ,120 GB,$44.00,SSD,"2.5""",SATA 6.0 Gb/s,5, 261,44.0
 Inland Professional  ,120 GB,$19.98,SSD,"2.5""",SATA 6.0 Gb/s,5, 30,19.98
 Corsair MP600 Force Series Gen4  ,1 TB,$215.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 44,215.99
 Klevv CRAS C710  ,512 GB,$39.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,39.99
 Corsair MP600 GS  ,2 TB,$157.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,157.99
 TEAMGROUP EX2  ,2 TB,$106.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 2,106.99
 Mushkin Vortex-LX  ,1 TB,$66.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,66.99
 Crucial T705  ,1 TB,$188.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,188.99
 Gigabyte AORUS Gen4 5000E  ,1 TB,$88.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,88.98
 Intel Optane P1600X  ,58 GB,$32.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,32.99
 SanDisk SSD PLUS  ,480 GB,$45.79,SSD,"2.5""",SATA 6.0 Gb/s,5, 24,45.79
 Seagate FireCuda 520  ,2 TB,$187.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 8,187.99
 Samsung 840 Evo  ,250 GB,$141.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 377,141.99
 Gigabyte AORUS Gen4 7000s  ,2 TB,$178.36,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,178.36
 MSI SPATIUM M390  ,500 GB,$55.51,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 1,55.51
 Klevv CRAS C710  ,1 TB,$59.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 1,59.99
 Crucial P1  ,500 GB,$85.09,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 91,85.09
