Name,Socket,Form Factor,Max Memory,Memory Slots,Rating,Rating Count,Price
 Gigabyte B760M DS3H AX  ,LGA1700,Micro ATX,192 GB,4,5, 2,$129.99
 Gigabyte B650 EAGLE AX  ,AM5,ATX,192 GB,4,0, 0,$159.99
 NZXT N7 Z790  ,LGA1700,ATX,192 GB,4,4, 3,$299.99
 MSI PRO B760M-P DDR4  ,LGA1700,Micro ATX,128 GB,4,3, 1,$99.99
 Asus ROG STRIX Z690-E GAMING WIFI  ,LGA1700,ATX,192 GB,4,5, 17,$219.99
 ASRock B450M/ac R2.0  ,AM4,Micro ATX,128 GB,4,5, 3,$89.99
 Asus ROG STRIX X670E-E GAMING WIFI  ,AM5,ATX,192 GB,4,5, 12,$449.99
 MSI PRO Z690-A WIFI  ,LGA1700,ATX,192 GB,4,5, 9,$166.30
 Gigabyte B550 AORUS ELITE AX V2  ,AM4,ATX,128 GB,4,5, 36,$139.99
 MSI MAG B550 TOMAHAWK  ,AM4,ATX,128 GB,4,5, 126,$144.99
 Gigabyte Z790 AORUS ELITE X WIFI7  ,LGA1700,ATX,192 GB,4,0, 0,$249.99
 MSI B450 Gaming Plus MAX  ,AM4,ATX,128 GB,4,5, 38,$99.99
 MSI MAG B760 TOMAHAWK WIFI  ,LGA1700,ATX,192 GB,4,5, 6,$179.99
 Gigabyte A620I AX  ,AM5,Mini ITX,96 GB,2,0, 0,$129.99
 ASRock Z690M-ITX/ax  ,LGA1700,Mini ITX,64 GB,2,4, 13,$134.99
 Asus ROG STRIX Z790-E GAMING WIFI  ,LGA1700,ATX,192 GB,4,5, 13,$381.99
 Gigabyte B760M DS3H DDR4  ,LGA1700,Micro ATX,128 GB,4,5, 2,$99.99
 Gigabyte H410M H V2  ,LGA1200,Micro ATX,64 GB,2,3, 1,$73.20
 MSI MPG B650I EDGE WIFI  ,AM5,Mini ITX,96 GB,2,4, 12,$261.02
 Gigabyte Z790 AORUS PRO X  ,LGA1700,ATX,192 GB,4,5, 3,$319.99
 ASRock B650M-HDV/M.2  ,AM5,Micro ATX,96 GB,2,5, 4,$119.99
 Gigabyte B550I AORUS PRO AX  ,AM4,Mini ITX,64 GB,2,4, 82,$169.99
 Gigabyte B650M D3HP  ,AM5,Micro ATX,192 GB,4,0, 0,$109.99
 MSI MEG Z790 GODLIKE MAX  ,LGA1700,EATX,192 GB,4,0, 0,$1196.99
 Gigabyte X670 AORUS ELITE AX ,AM5,ATX,192 GB,4,4, 16,$249.99
 ASRock B760M-H/M.2  ,LGA1700,Micro ATX,96 GB,2,5, 1,$89.99
 Asus ROG CROSSHAIR X670E HERO  ,AM5,ATX,192 GB,4,5, 9,$644.19
 ASRock A620I LIGHTNING WIFI  ,AM5,Mini ITX,96 GB,2,0, 0,$139.99
 ASRock B760 Pro RS/D4  ,LGA1700,ATX,128 GB,4,5, 2,$129.99
 ASRock B550M-ITX/ac  ,AM4,Mini ITX,64 GB,2,4, 35,$129.99
 NZXT N7 B650E  ,AM5,ATX,128 GB,4,4, 5,$305.99
 Gigabyte B550 GAMING X V2  ,AM4,ATX,128 GB,4,5, 12,$104.41
 Asus ROG MAXIMUS Z790 FORMULA  ,LGA1700,ATX,192 GB,4,5, 1,$724.00
