Brand,Model,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Rating,Rating Count,Price,Release Year
Intel,Core i5-14400F  ,10,2.5 GHz,4.7 GHz,65 W,,Yes,0,0,$199.99,2023.0
Intel,Core i3-10100F  ,4,3.6 GHz,4.3 GHz,65 W,,Yes,5,23,$71.30,2019.0
AMD,Ryzen 5 2600  ,6,3.4 GHz,3.9 GHz,65 W,,Yes,5,495,$155.00,2018.0
Intel,Core i5-14500  ,14,2.6 GHz,5 GHz,65 W,Intel UHD Graphics 770,Yes,0,0,$234.99,2023.0
Intel,Core i7-9700K  ,8,3.6 GHz,4.9 GHz,95 W,Intel UHD Graphics 630,No,5,225,$279.13,2018.0
Intel,Core i7-8700K  ,6,3.7 GHz,4.7 GHz,95 W,Intel UHD Graphics 630,Yes,5,303,$192.00,2017.0
Intel,Core i5-13500  ,14,2.5 GHz,4.8 GHz,65 W,Intel UHD Graphics 770,Yes,5,15,$244.85,2022.0
AMD,Ryzen 3 3200G  ,4,3.6 GHz,4 GHz,65 W,Radeon Vega 8,No,5,63,$80.00,2019.0
Intel,Core i9-13900KS  ,24,3 GHz,6 GHz,150 W,Intel UHD Graphics 770,Yes,5,13,$635.99,2022.0
Intel,Core i7-13700F  ,16,2.1 GHz,5.2 GHz,65 W,,Yes,5,2,$360.74,2022.0
Intel,Core i3-12100  ,4,3.3 GHz,4.3 GHz,60 W,Intel UHD Graphics 730,Yes,5,13,$116.99,2021.0
AMD,Ryzen 5 3600X  ,6,3.8 GHz,4.4 GHz,95 W,,Yes,5,201,$210.00,2019.0
Intel,Core i3-13100F  ,4,3.4 GHz,4.5 GHz,58 W,,Yes,5,4,$119.99,2022.0
AMD,Ryzen 7 2700X  ,8,3.7 GHz,4.3 GHz,105 W,,Yes,5,360,$210.00,2018.0
Intel,Core i5-13400  ,10,2.5 GHz,4.6 GHz,65 W,Intel UHD Graphics 730,Yes,5,4,$228.99,2022.0
Intel,Core i7-10700K  ,8,3.8 GHz,5.1 GHz,125 W,Intel UHD Graphics 630,Yes,5,100,$247.44,2019.0
Intel,Core i5-11400F  ,6,2.6 GHz,4.4 GHz,65 W,,Yes,5,23,$113.00,2020.0
Intel,Core i9-9900K  ,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5,211,$468.00,2018.0
Intel,Core i3-14100F  ,4,3.5 GHz,4.7 GHz,58 W,,Yes,0,0,$119.99,2023.0
AMD,Ryzen 9 3900X  ,12,3.8 GHz,4.6 GHz,105 W,,Yes,5,277,$445.00,2019.0
Intel,Core i9-13900KF  ,24,3 GHz,5.8 GHz,125 W,,Yes,5,11,$509.99,2022.0
Intel,Core i7-7700K  ,4,4.2 GHz,4.5 GHz,91 W,Intel HD Graphics 630,Yes,5,305,$252.00,2016.0
Intel,Core i5-9400F  ,6,2.9 GHz,4.1 GHz,65 W,,No,4,47,$112.00,2018.0
