Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 Samsung 980 Pro  ,2 TB,$166.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 244,$166.99
 Samsung 970 Evo Plus  ,1 TB,$94.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 451,$94.99
 Kingston NV2  ,1 TB,$60.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 63,$60.99
 Samsung 980 Pro  ,1 TB,$105.39,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 286,$105.39
 Samsung 990 Pro  ,4 TB,$339.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 11,$339.99
 Samsung 990 Pro  ,2 TB,$171.17,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 74,$171.17
 Crucial P3 Plus  ,1 TB,$65.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 40,$65.99
 Seagate Barracuda Compute  ,2 TB,$64.98,7200 RPM,"3.5""",SATA 6.0 Gb/s,5, 730,$64.98
 Crucial P3 Plus  ,2 TB,$115.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 26,$115.99
 Western Digital Black SN850X  ,2 TB,$156.97,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 93,$156.97
 Crucial P3  ,1 TB,$68.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 39,$68.98
 Samsung 970 Evo Plus  ,500 GB,$69.80,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 231,$69.80
 Intel 750  ,1.2 TB,$2488.87,SSD,PCIe,PCIe x4,0, 0,$2488.87
 Western Digital Black SN770  ,1 TB,$79.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 75,$79.98
 Samsung 870 Evo  ,1 TB,$89.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 61,$89.99
 Western Digital Black SN850X  ,1 TB,$84.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 54,$84.99
 Western Digital Black SN770  ,2 TB,$134.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 49,$134.99
 Kingston NV2  ,2 TB,$117.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 18,$117.99
 Sabrent Rocket 4 Plus  ,8 TB,$1199.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 1,$1199.99
 Seagate BarraCuda  ,4 TB,$84.99,5400 RPM,"3.5""",SATA 6.0 Gb/s,5, 70,$84.99
 Samsung 990 Pro  ,1 TB,$109.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 28,$109.99
 TEAMGROUP MP33  ,1 TB,$61.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 44,$61.99
 Western Digital Blue SN580  ,1 TB,$69.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 7,$69.00
 Seagate IronWolf Pro  ,24 TB,$549.99,7200 RPM,"3.5""",SATA 6.0 Gb/s,0, 0,$549.99
 Western Digital Black SN850X  ,4 TB,$299.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 35,$299.99
