Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 Thermaltake Smart BX1 550  ,ATX, Rating80+ Bronze,550 W,No,5, 8,
 Silverstone TX700-G  ,TFX, Rating80+ Gold,700 W,No,0, 0,$181.78
 Fractal Design Ion+ 2 Platinum  ,ATX, Rating80+ Platinum,660 W,Full,5, 1,
 Azza ARGB  ,ATX, Rating80+ Bronze,650 W,No,0, 0,$64.98
 Enermax Revolution D.F. X  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$114.99
 Silverstone SX650-G  ,SFX, Rating80+ Gold,650 W,Full,4, 5,$137.99
 NZXT C ,ATX, Rating80+ Gold,650 W,Full,5, 8,$104.99
 EVGA SuperNOVA 1200 P2  ,ATX, Rating80+ Platinum,1200 W,Full,5, 14,$499.99
 Cooler Master V750 SFX GOLD  ,SFX, Rating80+ Gold,750 W,Full,4, 6,
 SeaSonic FOCUS Plus 550 Gold  ,ATX, Rating80+ Gold,550 W,Full,5, 39,
 Montech CENTURY  ,ATX, Rating80+ Gold,850 W,Full,3, 1,
 Cooler Master G500  ,ATX, Rating80+ Gold,500 W,No,0, 0,
 ARESGAME AGT  ,ATX, Rating80+ Gold,1000 W,Full,5, 2,
 Chieftec GPS-700A8  ,ATX, Rating80+ Bronze,700 W,No,0, 0,
 LC-Power LC6 V2.31  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,
 Gigabyte AORUS P GM  ,ATX, Rating80+ Gold,850 W,Full,5, 5,
 EVGA SuperNOVA 650 P6  ,ATX, Rating80+ Platinum,650 W,Full,5, 1,$139.99
 KOLINK Classic Power  ,ATX, Rating80+ Bronze,500 W,No,5, 1,
 Silverstone DA1650 Gold  ,ATX, Rating80+ Gold,1650 W,Full,0, 0,
 ENDORFY Vero L5  ,ATX, Rating80+ Bronze,700 W,No,0, 0,
 Corsair AX760  ,ATX, Rating80+ Platinum,760 W,Full,5, 96,
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$164.99
 Thermaltake Toughpower GX1 RGB  ,ATX, Rating80+ Gold,700 W,No,5, 1,
 EVGA SuperNOVA G FTW  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$154.99
 Antec NE1000G M White ATX 3.0  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$204.61
 SeaSonic CORE GM  ,ATX, Rating80+ Gold,500 W,Semi,5, 6,
 SeaSonic PRIME PX  ,ATX, Rating80+ Platinum,750 W,Full,4, 2,$189.99
 Deepcool PF350 230V  ,ATX, Rating80+,350 W,No,0, 0,
 be quiet! Pure Power 11 FM 650  ,ATX, Rating80+ Gold,650 W,Full,5, 6,
 Cooler Master XG750 Plus  ,ATX, Rating80+ Platinum,750 W,Full,0, 0,$127.27
 Corsair TX650  ,ATX, Rating80+,650 W,No,5, 13,$262.49
 be quiet! Straight Power 11 650W  ,ATX, Rating80+ Gold,650 W,Full,5, 8,
 Fractal Design Ion+ 560P  ,ATX, Rating80+ Platinum,560 W,Full,5, 3,
 SeaSonic FOCUS  ,ATX, Rating80+ Platinum,650 W,Full,5, 3,
 Corsair AX860  ,ATX, Rating80+ Platinum,860 W,Full,5, 79,
 Enermax MAXREVO SLI  ,ATX, Rating80+ Gold,1350 W,Full,0, 0,$149.94
 Corsair GS800  ,ATX, Rating80+ Bronze,800 W,No,5, 7,$199.00
 FSP Group Dagger Pro  ,SFX, Rating80+ Gold,850 W,Full,4, 1,$179.99
 Corsair CS750M  ,ATX, Rating80+ Gold,750 W,Semi,5, 30,$216.99
 Silverstone Strider Platinum  ,ATX, Rating80+ Platinum,550 W,Full,5, 1,
 EVGA SuperNOVA 1300 P+  ,ATX, Rating80+ Platinum,1300 W,Full,0, 0,$499.99
 FSP Group HEXA 85+ PRO  ,ATX, Rating80+ Bronze,650 W,No,0, 0,
 Thermaltake Smart Pro RGB  ,ATX, Rating80+ Bronze,650 W,Full,5, 15,
 SeaSonic SSP-300SUG  ,Flex ATX, Rating80+ Gold,300 W,No,5, 1,$93.64
 Corsair RM1000  ,ATX, Rating80+ Gold,1000 W,Full,5, 36,
 be quiet! Straight Power 11  ,ATX, Rating80+ Platinum,850 W,Full,5, 7,
 be quiet! Dark Power 12  ,ATX, Rating80+ Titanium,750 W,Full,5, 3,$289.14
 Fractal Design Ion SFX 500G  ,SFX, Rating80+ Gold,500 W,Full,4, 7,
 ADATA XPG KYBER  ,ATX, Rating80+ Gold,750 W,No,0, 0,
 FSP Group Hydro Pro  ,ATX, Rating80+ Bronze,800 W,No,0, 0,
 Chieftec GPS-600A8  ,ATX, Rating80+,600 W,No,0, 0,
 Corsair RM750x White  ,ATX, Rating80+ Gold,750 W,Full,5, 20,
 EVGA SuperNOVA 550 GS  ,ATX, Rating80+ Gold,550 W,Full,5, 46,
 Cooler Master V650  ,ATX, Rating80+ Gold,650 W,Full,5, 9,$138.65
 Corsair TX750  ,ATX, Rating80+,750 W,No,5, 10,
 Cooler Master V SFX Gold ATX 3.0  ,SFX, Rating80+ Gold,750 W,Full,0, 0,
 Gigabyte UD1000GM PG5  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$227.47
 Thermaltake Toughpower PF3  ,ATX, Rating80+ Platinum,1200 W,Full,0, 0,
 EVGA SuperNOVA 850 G+  ,ATX, Rating80+ Gold,850 W,Full,5, 13,$229.95
 Segotep GP700G  ,ATX, Rating80+ Gold,700 W,No,3, 1,
 EVGA 450 BT  ,ATX, Rating80+ Bronze,450 W,No,5, 44,
 Thermaltake Toughpower Grand RGB  ,ATX, Rating80+ Gold,650 W,Full,4, 13,$112.99
 SeaSonic FOCUS Plus Platinum  ,ATX, Rating80+ Platinum,650 W,Full,5, 9,
 Aerocool AER-P7-P650W  ,ATX, Rating80+ Platinum,650 W,Full,5, 1,
 Silverstone Strider  ,ATX, Rating80+ Gold,550 W,Full,5, 11,$85.00
 LC-Power OFFICE SERIES  ,ATX, Rating,600 W,No,0, 0,
 EVGA SuperNOVA 450 GM  ,SFX, Rating80+ Gold,450 W,Full,5, 7,
 Thermaltake Smart Pro RGB  ,ATX, Rating80+ Bronze,750 W,Full,5, 12,$199.99
 EVGA 430 W1  ,ATX, Rating80+,430 W,No,5, 106,
 Gigabyte UD-GM PG5  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$155.38
 Thermaltake Toughpower GF A3 ATX 3.0  ,ATX, Rating80+ Gold,650 W,Full,0, 0,
 Corsair VS600 ,ATX, Rating80+ Bronze,600 W,No,4, 1,
 Thermaltake TR2 S  ,ATX, Rating80+,700 W,No,0, 0,$190.83
 GAMDIAS KRATOS E1  ,ATX, Rating80+,600 W,No,0, 0,
 be quiet! Pure Power 11 FM 750  ,ATX, Rating80+ Gold,750 W,Full,0, 0,
 MSI MAG A500DN  ,ATX, Rating80+,500 W,No,4, 1,
 EVGA SuperNOVA 1000 G2  ,ATX, Rating80+ Gold,1000 W,Full,5, 44,
 SeaSonic S12II  ,ATX, Rating80+ Bronze,350 W,No,5, 2,
 Thermaltake Toughpower PF3  ,ATX, Rating80+ Platinum,850 W,Full,0, 0,
 Deepcool PK450D  ,ATX, Rating80+ Bronze,450 W,No,0, 0,
 Antec VP PLUS  ,ATX, Rating80+,700 W,No,5, 1,
 Corsair RM550x  ,ATX, Rating80+ Gold,550 W,Full,5, 37,
 be quiet! Dark Power 12  ,ATX, Rating80+ Titanium,1000 W,Full,5, 5,
 SeaSonic PRIME  ,ATX, Rating80+ Gold,850 W,Full,5, 2,$195.98
 Cougar GEX  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$111.99
 Thermaltake Toughpower GF1 Snow - TT Premium  ,ATX, Rating80+ Gold,750 W,Full,3, 1,
 SeaSonic X  ,ATX, Rating80+ Gold,650 W,Full,5, 28,
 Enermax Revolution D.F.  ,ATX, Rating80+ Gold,750 W,Full,5, 3,$109.99
 GameMax GX Pro Rampage  ,ATX, Rating80+ Platinum,1250 W,Full,0, 0,
 NOX Hummer  ,ATX, Rating80+ Bronze,650 W,Semi,0, 0,$84.32
 SeaSonic S12III  ,ATX, Rating80+ Bronze,550 W,No,5, 6,$129.00
 Corsair CX550F  ,ATX, Rating80+ Bronze,550 W,Full,4, 9,
 Mars Gaming MPII650  ,ATX, Rating,650 W,No,0, 0,
 NZXT C ,ATX, Rating80+ Gold,750 W,Full,5, 18,$109.98
 Phanteks Revolt X  ,ATX, Rating80+ Platinum,1000 W,Full,5, 2,
 Thermalright TG  ,ATX, Rating80+ Gold,750 W,Full,0, 0,
 be quiet! Pure Power 11 CM  ,ATX, Rating80+ Gold,700 W,Semi,5, 6,
 be quiet! System Power 9  ,ATX, Rating80+ Bronze,500 W,No,5, 11,
 Corsair RM850i  ,ATX, Rating80+ Gold,850 W,Full,5, 18,
 EVGA SuperNOVA 650 P2  ,ATX, Rating80+ Platinum,650 W,Full,5, 33,$219.99
 SeaSonic Platinum  ,ATX, Rating80+ Platinum,400 W,Full,5, 4,
 GAMDIAS KRATOS M1 B  ,ATX, Rating80+ Bronze,550 W,No,0, 0,
 be quiet! Pure Power 11  ,ATX, Rating80+ Gold,600 W,No,4, 5,
 Antec NeoECO Gold  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$143.63
 Antec CSK  ,ATX, Rating80+ Bronze,550 W,No,0, 0,
 Cooler Master MWE Bronze V2  ,ATX, Rating80+ Bronze,700 W,No,5, 1,
 SeaSonic M12II EVO  ,ATX, Rating80+ Bronze,520 W,Full,5, 4,
 Cooler Master MWE Bronze 650  ,ATX, Rating80+ Bronze,650 W,No,0, 0,
 Silverstone Strider Platinum S  ,ATX, Rating80+ Platinum,1200 W,Full,5, 1,$269.45
 Rosewill HIVE S  ,ATX, Rating80+ Bronze,1000 W,Full,4, 4,
 Corsair AX850  ,ATX, Rating80+ Gold,850 W,Full,5, 26,$319.99
 SeaSonic FOCUS  ,ATX, Rating80+ Gold,750 W,Semi,5, 4,
 Thermaltake Smart BX1 RGB 750  ,ATX, Rating80+ Bronze,750 W,No,0, 0,
 Cooler Master MWE GOLD 650 V2  ,ATX, Rating80+ Gold,650 W,No,0, 0,
 FSP Group HEXA 85+ PRO  ,ATX, Rating80+ Bronze,550 W,No,0, 0,
 Apex SL-275TFX  ,TFX, Rating,275 W,No,0, 0,
 Thermaltake TR2  ,ATX, Rating,600 W,No,4, 35,$62.78
 Corsair CX850M  ,ATX, Rating80+ Bronze,850 W,Semi,4, 10,
 Antec High Current Gamer Gold  ,ATX, Rating80+ Gold,750 W,Full,5, 10,
 Logisys PS550E12BK  ,ATX, Rating,550 W,No,4, 2,$39.99
 SeaSonic G  ,ATX, Rating80+ Gold,450 W,Semi,5, 8,$140.66
 Silverstone Essential  ,ATX, Rating80+ Bronze,550 W,No,3, 1,$61.74
 Corsair RM650x  ,ATX, Rating80+ Gold,650 W,Full,5, 78,$203.40
 Thermaltake Toughpower GF1 ARGB  ,ATX, Rating80+ Gold,650 W,Full,4, 1,
 Silverstone SFX  ,SFX, Rating80+ Platinum,700 W,Full,5, 7,$169.99
 NZXT C ,ATX, Rating80+ Gold,850 W,Full,5, 28,$149.98
 Thermaltake Litepower  ,ATX, Rating,450 W,No,0, 0,
 ENDORFY Supremo FM5  ,ATX, Rating80+ Gold,850 W,Full,0, 0,
 Antec Signature Platinum  ,ATX, Rating80+ Platinum,1300 W,Full,0, 0,$284.99
 Cooler Master XG650 Plus  ,ATX, Rating80+ Platinum,650 W,Full,0, 0,
 SeaSonic PRIME PX  ,ATX, Rating80+ Platinum,650 W,Full,5, 1,
 Azza PSAZ-750W  ,ATX, Rating80+ Bronze,750 W,No,0, 0,$74.98
 Gigabyte PW400  ,ATX, Rating80+,400 W,No,5, 1,
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,
 SeaSonic PRIME SNOWSILENT  ,ATX, Rating80+ Titanium,750 W,Full,0, 0,
 Corsair Vengeance 650M  ,ATX, Rating80+ Silver,650 W,Semi,5, 3,
 Silverstone DA850R-GMA  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$266.64
 FSP Group Dagger Pro  ,SFX, Rating80+ Gold,750 W,Full,4, 1,$149.99
 SeaSonic S12II  ,ATX, Rating80+ Bronze,520 W,No,5, 29,$247.77
 Deepcool DQ-M-V2L  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$199.07
 Cougar VTX  ,ATX, Rating80+ Bronze,500 W,No,4, 1,
 Corsair RM850  ,ATX, Rating80+ Gold,850 W,Full,5, 72,
 In Win P85FII  ,ATX, Rating80+ Gold,850 W,No,0, 0,
 GameMax GS  ,SFX, Rating80+ Bronze,300 W,No,0, 0,
 Fractal Design Ion+ 2 Platinum  ,ATX, Rating80+ Platinum,560 W,Full,0, 0,$236.47
 NOX Hummer GD  ,ATX, Rating80+ Gold,750 W,No,0, 0,
 SeaSonic M12II  ,ATX, Rating80+ Bronze,620 W,No,5, 44,
 NOX URANO TX  ,ATX, Rating,850 W,No,0, 0,
 Gigabyte GP-G750H  ,ATX, Rating80+ Gold,750 W,Semi,5, 9,
 SeaSonic PRIME  ,ATX, Rating80+ Gold,1000 W,Full,5, 2,$316.28
 GAMDIAS KRATOS M1 B  ,ATX, Rating80+ Bronze,600 W,No,0, 0,
 Gigabyte B700H  ,ATX, Rating80+ Bronze,700 W,Semi,5, 8,
 EVGA 450 B3  ,ATX, Rating80+ Bronze,450 W,Full,5, 21,
 Thermaltake Toughpower GF1 ARGB  ,ATX, Rating80+ Gold,850 W,Full,5, 1,
 Deepcool DA500  ,ATX, Rating80+ Bronze,500 W,No,0, 0,
 SeaSonic VERTEX GX-750  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$169.99
 Thermaltake Toughpower PF1 - TT Premium Edition  ,ATX, Rating80+ Platinum,850 W,Full,4, 1,
 Thermaltake Toughpower Grand RGB Platinum  ,ATX, Rating80+ Platinum,1200 W,Full,0, 0,$269.99
 Rosewill SMG1050  ,ATX, Rating80+ Gold,1050 W,Full,0, 0,$109.99
 EVGA SuperNOVA 650 G7  ,ATX, Rating80+ Gold,650 W,Full,0, 0,$99.99
 MSI MAG A1000GL PCIE5  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,
 Thermaltake TPD-0550M  ,ATX, Rating80+ Gold,550 W,Semi,5, 6,
 ADATA XPG CYBERCORE  ,ATX, Rating80+ Platinum,1300 W,Full,0, 0,$209.99
 SeaSonic FOCUS Gold  ,ATX, Rating80+ Gold,750 W,Semi,5, 21,
 Chieftec ATMOS  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$163.59
 FSP Group HYPER K PRO  ,ATX, Rating80+,700 W,No,0, 0,
 Silverstone DA850R-GMA  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$251.53
 KOLINK Core RGB  ,ATX, Rating80+,500 W,No,0, 0,
 Corsair HX750  ,ATX, Rating80+ Gold,750 W,Semi,5, 77,$273.99
 Corsair CX430M  ,ATX, Rating80+ Bronze,430 W,Semi,5, 147,
 Cooler Master V SFX Gold ATX 3.0  ,SFX, Rating80+ Gold,750 W,Full,0, 0,
 SeaSonic FOCUS Gold  ,ATX, Rating80+ Gold,650 W,Semi,5, 14,$139.34
 Cougar GEX  ,ATX, Rating80+ Gold,750 W,Full,4, 1,
 Cooler Master V750  ,ATX, Rating80+ Gold,750 W,Full,5, 3,
 PowerSpec PS 550BF  ,ATX, Rating80+ Bronze,550 W,No,5, 5,
 Corsair HX850  ,ATX, Rating80+ Gold,850 W,Semi,5, 39,
 Rosewill HIVE  ,ATX, Rating80+ Bronze,750 W,Semi,5, 39,
 iTek GF750 EVO  ,ATX, Rating80+ Gold,750 W,Full,0, 0,
 Deepcool PX1300P  ,ATX, Rating80+ Platinum,1300 W,Full,0, 0,$299.99
 Corsair TX850  ,ATX, Rating80+,850 W,No,5, 1,
 Thermaltake Toughpower SFX  ,SFX, Rating80+ Gold,550 W,Full,0, 0,
 FSP Group FSP300-60LG  ,Mini ITX, Rating80+ Bronze,300 W,No,0, 0,$148.02
 SeaSonic FOCUS SGX ,SFX, Rating80+ Gold,650 W,Full,0, 0,
 FSP Group Hydro G PRO ATX3.0,ATX, Rating80+ Gold,1000 W,Full,0, 0,
 Cooler Master MWE 500  ,ATX, Rating80+,500 W,No,5, 1,
 EVGA SuperNOVA NEX750B  ,ATX, Rating80+ Bronze,750 W,Semi,5, 52,
 EVGA SuperNOVA 750 B2  ,ATX, Rating80+ Bronze,750 W,Semi,5, 49,
 NZXT HALE82 V2 550W  ,ATX, Rating80+ Bronze,550 W,Full,4, 17,
 Super Flower Leadex III ARGB  ,ATX, Rating80+ Gold,850 W,Full,5, 2,$169.99
 Silverstone Strider Platinum  ,ATX, Rating80+ Platinum,850 W,Full,0, 0,$159.99
 ADATA XPG Core Reactor II  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$99.99
 Cooler Master MWE Gold 1250 - V2  ,ATX, Rating80+ Gold,1250 W,Full,0, 0,
 Cooler Master MWE White V2 230V  ,ATX, Rating80+,550 W,No,5, 3,
 Corsair VS450  ,ATX, Rating,450 W,No,4, 14,
 Thermaltake Toughpower PF3-L  ,ATX, Rating80+ Platinum,1050 W,Full,0, 0,$179.99
 Antec NE1300G M ATX3.0  ,ATX, Rating80+ Gold,1300 W,Full,0, 0,$199.99
" FSP Group Hydro PTM X PRO,Gen5  ",ATX, Rating80+ Platinum,1200 W,Full,0, 0,$254.99
 EVGA SuperNOVA 850 T2  ,ATX, Rating80+ Titanium,850 W,Full,5, 7,
 Corsair AX860i  ,ATX, Rating80+ Platinum,860 W,Full,5, 58,
 Silverstone TX300  ,TFX, Rating80+ Bronze,300 W,No,0, 0,$81.92
 Thermalright TG  ,ATX, Rating80+ Gold,850 W,Full,0, 0,
 Tacens Radix VII AG  ,ATX, Rating80+ Silver,600 W,No,4, 1,
 Silverstone Strider  ,ATX, Rating80+,500 W,No,4, 8,
 Corsair RM450  ,ATX, Rating80+ Gold,450 W,Full,4, 11,
 Cooler Master XG650  ,ATX, Rating80+ Platinum,650 W,Full,0, 0,
 Cooler Master V750 Gold i  ,ATX, Rating80+ Gold,750 W,Full,5, 2,
 Super Flower Leadex V Platinum Pro  ,ATX, Rating80+ Platinum,850 W,Full,5, 7,$189.99
" FSP Group Hydro PTM PRO,Gen5  ",ATX, Rating80+ Platinum,1200 W,Full,0, 0,$265.99
 Asus ROG-STRIX-850G-GUNDAM-EDITION  ,ATX, Rating80+ Gold,850 W,Full,0, 0,
 Cooler Master MWE White V2 230V  ,ATX, Rating80+,400 W,No,0, 0,
 FSP Group Hydro Pro  ,ATX, Rating80+ Bronze,700 W,No,0, 0,
 Thermaltake TOUGHPOWER PF1 ARGB  ,ATX, Rating80+ Platinum,1050 W,Full,5, 1,
 Silverstone Essential  ,ATX, Rating80+ Gold,750 W,Semi,4, 1,$109.99
 Cooler Master V SFX Gold ATX 3.0  ,SFX, Rating80+ Gold,850 W,Full,0, 0,
 be quiet! Pure Power 11 CM  ,ATX, Rating80+ Gold,600 W,Semi,5, 8,
 Cooler Master V700  ,ATX, Rating80+ Gold,700 W,Full,5, 10,
 Cooler Master MWE Gold 1050 - V2  ,ATX, Rating80+ Gold,1050 W,Full,0, 0,
 Thermaltake Toughpower GF A3 ATX 3.0  ,ATX, Rating80+ Gold,750 W,Full,0, 0,
 Thermaltake TR2 S 550W  ,ATX, Rating80+,550 W,No,4, 2,
 Corsair RM1000i  ,ATX, Rating80+ Gold,1000 W,Full,5, 16,
 Enermax Revolution D.F. X  ,ATX, Rating80+ Gold,1200 W,Full,0, 0,$169.99
 Cooler Master MWE Bronze V2  ,ATX, Rating80+ Bronze,500 W,No,0, 0,
 SeaSonic M12II  ,ATX, Rating80+ Bronze,520 W,Full,5, 91,
 Cooler Master V1000  ,ATX, Rating80+ Gold,1000 W,Full,5, 8,
 SeaSonic FOCUS  ,ATX, Rating80+ Gold,550 W,Semi,5, 1,
 EVGA 600 BA  ,ATX, Rating80+ Bronze,600 W,No,4, 6,
 SeaSonic PRIME PX  ,ATX, Rating80+ Platinum,850 W,Full,4, 1,$309.39
 SHARKOON SilentStorm Cool Zero 850  ,ATX, Rating80+ Gold,850 W,Full,0, 0,
 Antec NeoECO Gold ZEN  ,ATX, Rating80+ Gold,600 W,No,5, 4,
 Corsair CS550M  ,ATX, Rating80+ Gold,550 W,Semi,5, 61,
 Segotep GM  ,ATX, Rating80+ Gold,850 W,Full,0, 0,
 FSP Group Hydro PTM PRO  ,ATX, Rating80+ Platinum,750 W,Full,0, 0,$149.99
 be quiet! Pure Power 10  ,ATX, Rating80+ Silver,500 W,No,4, 2,
 Corsair Vengeance 650M  ,ATX, Rating80+ Bronze,650 W,Semi,0, 0,
 EVGA SuperNOVA 650 GS  ,ATX, Rating80+ Gold,650 W,Full,5, 34,
 SHARKOON SilentStorm Icewind Black  ,ATX, Rating80+ Bronze,650 W,Semi,0, 0,
 be quiet! Straight Power 11  ,ATX, Rating80+ Platinum,1200 W,Full,5, 4,
 SeaSonic PRIME TX-650  ,ATX, Rating80+ Titanium,650 W,Full,0, 0,
 ADATA XPG Core Reactor II  ,ATX, Rating80+ Gold,650 W,Full,0, 0,$89.99
 Fractal Design Ion Gold  ,ATX, Rating80+ Gold,650 W,Full,0, 0,$163.02
 Corsair HX1000  ,ATX, Rating80+,1000 W,Semi,5, 5,$479.99
 Super Flower Leadex Platinum  ,ATX, Rating80+ Platinum,1600 W,Full,0, 0,$279.99
 Silverstone Strider Titanium  ,ATX, Rating80+ Titanium,1100 W,Full,0, 0,$338.99
 be quiet! Straight Power 11 450W  ,ATX, Rating80+ Gold,450 W,Full,5, 2,$259.00
 Deepcool PQ650M  ,ATX, Rating80+ Gold,650 W,Full,0, 0,$127.98
 Cooler Master B500 ver.2  ,ATX, Rating80+,500 W,No,4, 3,
 Antec EARTHWATTS GOLD PRO 750  ,ATX, Rating80+ Gold,750 W,Semi,5, 12,$149.99
 FSP Group Hydro Pro  ,ATX, Rating80+ Bronze,600 W,No,0, 0,
 Corsair HX650  ,ATX, Rating80+ Gold,650 W,Semi,4, 20,$316.95
 Corsair RM550  ,ATX, Rating80+ Gold,550 W,Full,5, 21,
 Fractal Design Ion+ 660P  ,ATX, Rating80+ Platinum,660 W,Full,5, 9,
 Thermaltake Toughpower GF2 ARGB  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$142.99
 Thermaltake Smart SE  ,ATX, Rating,630 W,Semi,5, 4,$174.00
 Corsair RM650i  ,ATX, Rating80+ Gold,650 W,Full,5, 26,
 Apevia Spirit  ,ATX, Rating,700 W,No,0, 0,
 FSP Group HEXA+  ,ATX, Rating,500 W,No,4, 1,
 GameMax GM  ,ATX, Rating80+ Bronze,500 W,Semi,5, 1,
 Cooler Master 700W MasterWatt Lite 230V  ,ATX, Rating80+,700 W,No,5, 1,
 Corsair HX1050  ,ATX, Rating80+ Gold,1050 W,Semi,5, 16,
 Phanteks AMP  ,ATX, Rating80+ Gold,650 W,Full,5, 7,
 Deepcool PX1000P  ,ATX, Rating80+ Platinum,1000 W,Full,0, 0,$229.99
 Silverstone Strider Platinum  ,ATX, Rating80+ Platinum,650 W,Full,0, 0,$128.27
 FSP Group Hydro G Pro  ,ATX, Rating80+ Gold,850 W,Full,5, 1,
 Thermaltake Smart  ,ATX, Rating80+ Bronze,650 W,No,4, 25,
 Zalman TX  ,ATX, Rating,700 W,No,1, 1,
 SHARKOON SilentStorm Icewind Black  ,ATX, Rating80+ Bronze,750 W,Semi,0, 0,
 Silverstone NJ450-SXL  ,SFX, Rating80+ Platinum,450 W,Full,0, 0,
 SeaSonic VERTEX PX-750  ,ATX, Rating80+ Platinum,750 W,Full,0, 0,$199.99
 LC-Power LC6 V2.31  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,
 SeaSonic FOCUS  ,ATX, Rating80+ Gold,650 W,Semi,5, 5,
 be quiet! Pure Power 11 FM 850  ,ATX, Rating80+ Gold,850 W,Full,5, 1,$299.89
 be quiet! System Power 9  ,ATX, Rating80+ Bronze,700 W,No,4, 2,
 ENDORFY Vero L5  ,ATX, Rating80+ Bronze,500 W,No,0, 0,
 Cougar BXM750  ,ATX, Rating80+ Bronze,750 W,Semi,0, 0,$93.98
 EVGA 460 BP  ,ATX, Rating80+ Bronze,460 W,No,0, 0,
 Mars Gaming MP700  ,ATX, Rating,700 W,No,0, 0,
 Antec High Current Gamer Gold  ,ATX, Rating80+ Gold,650 W,Full,5, 4,
 be quiet! Pure Power L8  ,ATX, Rating80+ Bronze,300 W,No,5, 2,
 G.Skill PS850G  ,ATX, Rating80+ Gold,850 W,Full,5, 2,
 Segotep GF  ,SFX, Rating80+ Gold,750 W,Full,0, 0,
 Apevia Prestige  ,ATX, Rating80+ Gold,1000 W,No,5, 2,
 FSP Group Hydro PTM PRO  ,ATX, Rating80+ Platinum,650 W,Full,0, 0,
 PC Power & Cooling PM0600  ,ATX, Rating80+ Bronze,600 W,Semi,0, 0,$118.09
 Deepcool DQ650-M-V2L  ,ATX, Rating80+ Gold,650 W,Full,0, 0,
 Enermax MAXREVO  ,ATX, Rating80+ Gold,1800 W,Full,0, 0,
 NZXT E500  ,ATX, Rating80+ Gold,500 W,Full,5, 3,
 Thermaltake Toughpower PF3-L  ,ATX, Rating80+ Platinum,850 W,Full,0, 0,$172.82
 Thermaltake Toughpower GF1 ARGB  ,ATX, Rating80+ Gold,750 W,Full,5, 1,
 Xilence Performance A+ III  ,ATX, Rating80+ Bronze,450 W,No,0, 0,
 FSP Group Hydro GE  ,ATX, Rating80+ Gold,650 W,Full,4, 1,$89.99
 CoolMax V-500  ,ATX, Rating,500 W,No,3, 1,$33.47
 Sparkle FSP300-60ATV  ,ATX, Rating,300 W,No,0, 0,$59.99
 Antec High Current Gamer  ,ATX, Rating80+ Bronze,620 W,Semi,5, 30,$155.31
 Enermax Revolution D.F.  ,ATX, Rating80+ Gold,650 W,Full,4, 11,
 EVGA SuperNOVA 750 G1  ,ATX, Rating80+ Gold,750 W,Full,5, 69,
 Xilence XP1050MR9  ,ATX, Rating80+ Gold,1050 W,Full,0, 0,$223.09
 ADATA XPG CYBERCORE  ,ATX, Rating80+ Platinum,1000 W,Full,0, 0,$189.99
 ENDORFY Supremo FM5  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,
 BitFenix Formula Bronze  ,ATX, Rating80+ Bronze,600 W,No,5, 1,
 Xigmatek NRP-PC602  ,ATX, Rating80+ Bronze,600 W,No,0, 0,
 SilentiumPC Vero L2  ,ATX, Rating80+ Bronze,600 W,No,0, 0,
 Corsair TX850M  ,ATX, Rating80+ Bronze,850 W,Semi,5, 14,
 KOLINK Regulator  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$149.99
 Antec NE850G M  ,ATX, Rating80+ Gold,850 W,Full,0, 0,
 Cooler Master MWE  ,ATX, Rating80+ Bronze,600 W,No,0, 0,
 Cooler Master MWE Bronze 550  ,ATX, Rating80+ Bronze,550 W,No,0, 0,
 EVGA SuperNOVA NEX750G Gold  ,ATX, Rating80+ Gold,750 W,Full,5, 44,
 Silverstone DA1000R  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,
 Silverstone HELA R  ,ATX, Rating80+ Platinum,1300 W,Full,0, 0,
 Gigabyte UD-GM PG5  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$167.56
 SeaSonic PRIME Platinum  ,ATX, Rating80+ Platinum,1000 W,Full,0, 0,
 Asus TUF Gaming 1200G  ,ATX, Rating80+ Gold,1200 W,Full,0, 0,$209.99
 Rosewill HIVE  ,ATX, Rating80+ Bronze,850 W,Full,5, 2,
 Silverstone Strider  ,ATX, Rating80+ Bronze,700 W,Full,0, 0,$99.99
 Corsair VS500  ,ATX, Rating80+,500 W,No,4, 9,$234.54
