Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 Cooler Master MWE GOLD 750 V2 FULL MODULAR  ,ATX, Rating80+ Gold,750 W,Full,5, 12,$195.07
 Corsair HX1200 Platinum  ,ATX, Rating80+ Platinum,1200 W,Full,5, 42,
 EVGA SuperNOVA 750 GT  ,ATX, Rating80+ Gold,750 W,Full,5, 24,$109.99
 SeaSonic PRIME TX-1000  ,ATX, Rating80+ Titanium,1000 W,Full,5, 14,$304.99
 Asus ROG THOR P2 Gaming  ,ATX, Rating80+ Platinum,1200 W,Full,3, 1,$309.99
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,1200 W,Full,5, 5,$179.90
 Lian Li SP850  ,SFX, Rating80+ Gold,850 W,Full,5, 6,$144.42
 Corsair CX ,ATX, Rating80+ Bronze,750 W,No,4, 1,$64.98
 Corsair CX ,ATX, Rating80+ Bronze,650 W,No,0, 0,$59.99
 Asus TUF Gaming 1000G  ,ATX, Rating80+ Gold,1000 W,Full,5, 6,$159.33
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,850 W,Full,5, 21,$124.99
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,750 W,Full,5, 42,$142.44
 EVGA SuperNOVA 650 G+  ,ATX, Rating80+ Gold,650 W,Full,5, 32,$103.00
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,450 W,No,4, 1,$128.16
 NZXT C1000 ,ATX, Rating80+ Gold,1000 W,Full,5, 2,$134.00
 EVGA 500 W1  ,ATX, Rating80+,500 W,No,4, 186,$49.99
 Apevia CAPTAIN  ,ATX, Rating,550 W,No,0, 0,$31.99
 EVGA 600 BR  ,ATX, Rating80+ Bronze,600 W,No,5, 34,$69.99
 be quiet! Pure Power 11  ,ATX, Rating80+ Gold,400 W,No,5, 2,$128.41
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,850 W,Full,5, 3,$149.90
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$104.99
 Cooler Master V850 SFX GOLD  ,SFX, Rating80+ Gold,850 W,Full,5, 36,$229.00
 MSI MEG Ai1300P PCIE5  ,ATX, Rating80+ Platinum,1300 W,Full,5, 10,$309.99
 SeaSonic FOCUS Plus 750 Gold  ,ATX, Rating80+ Gold,750 W,Full,5, 73,$111.55
 Apevia Prestige  ,ATX, Rating80+ Gold,800 W,No,5, 4,$66.98
 Montech TITAN GOLD 850W  ,ATX, Rating80+ Gold,850 W,Full,5, 1,$109.99
 Silverstone SFX  ,SFX, Rating80+ Gold,500 W,Full,4, 50,$111.60
 NZXT C1200  ,ATX, Rating80+ Gold,1200 W,Full,5, 1,$194.99
 Gigabyte P650G ,ATX, Rating80+ Gold,650 W,No,0, 0,$59.99
 Deepcool PK650D  ,ATX, Rating80+ Bronze,650 W,No,5, 1,
 Thermaltake Toughpower  ,ATX, Rating80+ Gold,750 W,Semi,5, 34,$79.98
 Gigabyte UD-GM PG5  ,ATX, Rating80+ Gold,850 W,Full,5, 1,$124.99
 be quiet! Dark Power 13  ,ATX, Rating80+ Titanium,850 W,Full,5, 2,$229.90
 Corsair RM750 ,ATX, Rating80+ Gold,750 W,Full,5, 232,$220.00
 Lian Li SP750  ,SFX, Rating80+ Gold,750 W,Full,0, 0,$119.99
 Gigabyte P450B  ,ATX, Rating80+ Bronze,450 W,No,4, 9,$54.99
 EVGA 600 GD  ,ATX, Rating80+ Gold,600 W,No,5, 11,$81.58
 EVGA 700 GD  ,ATX, Rating80+ Gold,700 W,No,4, 16,$89.99
 EVGA 600 W1  ,ATX, Rating80+,600 W,No,4, 47,$64.98
 Corsair RM1200x SHIFT  ,ATX, Rating80+ Gold,1200 W,Full / Side,5, 3,$199.99
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,650 W,No,5, 2,$135.91
