CPU Name,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Raiting,Raiting Count,Price
 AMD Ryzen 7 7800X3D  ,8,4.2 GHz,5 GHz,120 W,Radeon,Yes,5, 208,$369.00
 AMD Ryzen 5 7600X  ,6,4.7 GHz,5.3 GHz,105 W,Radeon,Yes,5, 113,$218.46
 AMD Ryzen 5 5600X  ,6,3.7 GHz,4.6 GHz,65 W,None,Yes,5, 609,$151.24
 Intel Core i9-14900K  ,24,3.2 GHz,6 GHz,125 W,Intel UHD Graphics 770,Yes,5, 13,$544.99
 AMD Ryzen 5 7600  ,6,3.8 GHz,5.1 GHz,65 W,Radeon,Yes,5, 65,$260.73
 AMD Ryzen 5 5600  ,6,3.5 GHz,4.4 GHz,65 W,None,Yes,5, 128,$134.99
 Intel Core i5-12400F  ,6,2.5 GHz,4.4 GHz,65 W,None,Yes,5, 70,$139.78
 AMD Ryzen 5 5500  ,6,3.6 GHz,4.2 GHz,65 W,None,Yes,5, 35,$89.99
 Intel Core i7-13700K  ,16,3.4 GHz,5.4 GHz,125 W,Intel UHD Graphics 770,Yes,5, 111,$369.99
 AMD Ryzen 7 7700X  ,8,4.5 GHz,5.4 GHz,105 W,Radeon,Yes,5, 91,$288.41
 Intel Core i7-14700K  ,20,3.4 GHz,5.6 GHz,125 W,Intel UHD Graphics 770,Yes,5, 14,$399.99
 AMD Ryzen 7 5800X  ,8,3.8 GHz,4.7 GHz,105 W,None,Yes,5, 323,$208.26
 AMD Ryzen 9 7950X3D  ,16,4.2 GHz,5.7 GHz,120 W,Radeon,Yes,5, 25,$591.89
 AMD Ryzen 5 3600  ,6,3.6 GHz,4.2 GHz,65 W,None,Yes,5, 1150,$110.33
 Intel Core i5-12600K  ,10,3.7 GHz,4.9 GHz,125 W,Intel UHD Graphics 770,Yes,5, 136,$187.99
 AMD Ryzen 7 5700X  ,8,3.4 GHz,4.6 GHz,65 W,None,Yes,5, 79,$170.62
 AMD Ryzen 7 5800X3D  ,8,3.4 GHz,4.5 GHz,105 W,None,Yes,5, 90,$294.00
 Intel Core i7-12700K  ,12,3.6 GHz,5 GHz,125 W,Intel UHD Graphics 770,Yes,5, 126,$253.91
 Intel Core i5-12600KF  ,10,3.7 GHz,4.9 GHz,125 W,None,Yes,5, 46,$160.99
 AMD Ryzen 9 7900X  ,12,4.7 GHz,5.6 GHz,170 W,Radeon,Yes,5, 60,$380.99
 Intel Core i5-13600K  ,14,3.5 GHz,5.1 GHz,125 W,Intel UHD Graphics 770,Yes,5, 90,$297.99
 AMD Ryzen 5 5600G  ,6,3.9 GHz,4.4 GHz,65 W,Radeon Vega 7,Yes,5, 128,$137.59
 Intel Core i3-12100F  ,4,3.3 GHz,4.3 GHz,58 W,None,Yes,5, 43,$94.98
 AMD Ryzen 9 5900X  ,12,3.7 GHz,4.8 GHz,105 W,None,Yes,5, 220,$290.86
 AMD Threadripper 3990X  ,64,2.9 GHz,4.3 GHz,280 W,None,Yes,5, 1,$4255.00
 Intel Core i5-14600K  ,14,3.5 GHz,5.3 GHz,125 W,Intel UHD Graphics 770,Yes,5, 5,$299.99
